,Symbol,Date,Close,High,Low,Open,Volume,engulfing,hammer,inverse_hammer,piercing,morning_star,3adv_white_soldiers,hanging_man,shooting_star,evening_star,evening_doji_star,three_black_crows,dark_cloud_cover,doji,spinning_top,rising_falling_three_methods,Adj Close
339,AKAM,1/17/2025,91.01000214,92.55000305,90.95999908,91.72000122,2346400,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
1087,AMAT,1/17/2025,192.0500031,193.1600037,188.7899933,193,8102100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
135,AMD,1/17/2025,121.4599991,122.7399979,120.5500031,120.7799988,35582500,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
849,AMP,1/17/2025,552.1900024,552.3400269,544.1699829,549.5499878,941600,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
1529,AVB,1/17/2025,218.1399994,218.8399963,217.25,218.3699951,553900,0,0,0,0,0,0,-100,0,0,0,0,0,100,-100,0,
2498,BAM,1/17/2025,55.56999969,55.90000153,55.20000076,55.24000168,550000,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
2515,BN,1/17/2025,58.18000031,58.56999969,57.88000107,57.97000122,1406600,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
2736,CAN,1/17/2025,2.00999999,2.256999969,1.995000005,2.059999943,27102900,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
3042,CBRE,1/17/2025,136.9100037,137.25,134.4100037,135.7100067,2146100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
3263,CHKP,1/17/2025,187.8699951,189.1499939,185.0200043,188.75,664900,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
3246,CHTR,1/17/2025,351.3699951,353.5899963,347.6900024,352.8200073,1206900,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,
3960,CRBG,1/17/2025,31.95000076,32.36000061,31.80500031,31.84000015,6054200,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,
4147,CRWD,1/17/2025,357,370.9500122,349.5499878,370.1400146,4915500,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,
4266,CYBR,1/17/2025,352.2200012,363,351.9100037,361.8299866,534300,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,
